iter	MultiClass
157	1.098499111
158	1.098498483
159	1.098497971
160	1.098497971
161	1.098497393
162	1.098496602
163	1.098495269
164	1.098494214
165	1.098493001
166	1.098492363
167	1.098492045
168	1.09849086
169	1.098489883
170	1.098489883
171	1.098489162
172	1.098488861
173	1.098488861
174	1.098487551
175	1.098486348
176	1.098486051
177	1.098484596
178	1.098483848
179	1.098482585
180	1.098482585
181	1.098481308
182	1.098481308
183	1.098480084
184	1.098478982
185	1.098478982
186	1.098478099
187	1.098477368
188	1.09847707
189	1.098476103
190	1.098476103
191	1.098475382
192	1.098475382
193	1.098474454
194	1.098473349
195	1.098472486
196	1.098471358
197	1.098470061
198	1.098470061
199	1.098469288
200	1.098468445
201	1.098467124
202	1.098466736
203	1.098465814
204	1.09846471
205	1.098463906
206	1.098463174
207	1.098461927
208	1.098461112
209	1.098459821
210	1.098458553
211	1.098458553
212	1.098457541
213	1.098457541
214	1.098457541
215	1.098457541
216	1.09845724
217	1.098456536
218	1.098455512
219	1.098454351
220	1.098453753
221	1.098452817
222	1.098451696
223	1.09845088
224	1.098449828
225	1.098449315
226	1.098448308
227	1.098447711
228	1.098447711
229	1.098447265
230	1.098447265
231	1.098445792
232	1.098445792
233	1.098445404
234	1.098445404
235	1.098445404
236	1.098444588
237	1.098443542
238	1.098443542
239	1.098442434
240	1.098441554
241	1.098441554
242	1.098441554
243	1.098440243
244	1.098439616
245	1.098438345
246	1.098437271
247	1.098436774
248	1.098435748
249	1.098434514
250	1.098433042
251	1.098433042
252	1.098432084
253	1.098432084
254	1.098431256
255	1.098431256
256	1.098431256
257	1.098431256
258	1.098429856
259	1.098428946
260	1.098428946
261	1.098427775
262	1.098427027
263	1.098426185
264	1.098426185
265	1.098426185
266	1.098426185
267	1.098425926
268	1.098424977
269	1.098423589
270	1.098422774
271	1.098421918
272	1.09842079
273	1.098419571
274	1.0984181
275	1.0984181
276	1.098416987
277	1.098416987
278	1.098415832
279	1.098414961
280	1.098414091
281	1.098414091
282	1.09841317
283	1.09841317
284	1.098412853
285	1.098412853
286	1.098412037
287	1.098412037
288	1.098411719
289	1.098411244
290	1.098410145
291	1.098409335
292	1.098408587
293	1.098407267
294	1.098407267
295	1.098406304
296	1.098405119
297	1.098404522
298	1.098403514
299	1.098402567
300	1.098402567
301	1.098401773
302	1.098401055
303	1.098401055
304	1.098399947
305	1.098398773
306	1.098397793
307	1.098397793
308	1.098397075
309	1.098397075
310	1.098395838
311	1.098394897
312	1.098394897
313	1.098394897
314	1.098394897
315	1.098394897
316	1.098394054
317	1.09839267
318	1.09839267
319	1.09839267
320	1.098391615
321	1.098391284
322	1.098391284
323	1.098391284
324	1.098391284
325	1.098390131
326	1.098390131
327	1.098389239
328	1.098388082
329	1.098387364
330	1.098387364
331	1.098387364
332	1.098386285
333	1.098386285
334	1.098386285
335	1.098385984
336	1.09838473
337	1.09838336
338	1.09838336
339	1.098382595
340	1.098382595
341	1.098381249
342	1.098380803
343	1.098380175
344	1.098380175
345	1.098378987
346	1.098378987
347	1.09837761
348	1.098376774
349	1.098375692
350	1.098375374
351	1.098374188
352	1.098373556
353	1.098372458
354	1.098371879
355	1.098371204
356	1.098371204
357	1.098369999
358	1.098369999
359	1.098368699
360	1.098367703
361	1.098367703
362	1.098366832
363	1.098365438
364	1.098364479
365	1.098363843
366	1.098362972
367	1.098361527
368	1.098360127
369	1.098360127
370	1.098359098
371	1.098358283
372	1.09835706
373	1.09835706
374	1.09835706
375	1.098355806
376	1.098354749
377	1.098354749
378	1.098354749
379	1.098353419
380	1.098353419
381	1.098353419
382	1.098352415
383	1.098351684
384	1.098351009
385	1.098349623
386	1.098349623
387	1.098349005
388	1.098349005
389	1.098348076
390	1.098348076
391	1.098348076
392	1.098348076
393	1.098347609
394	1.098346793
395	1.098346793
396	1.098345432
397	1.098344547
398	1.098343321
399	1.098343321
400	1.098342451
401	1.098341581
402	1.098341581
403	1.098341581
404	1.098340892
405	1.098339815
406	1.098338611
407	1.098338611
408	1.098338611
409	1.098337311
410	1.098336673
411	1.098336162
412	1.098335549
413	1.098334702
414	1.09833321
415	1.098332258
416	1.098331454
417	1.098331454
418	1.098330273
419	1.098329015
420	1.098329015
421	1.098327664
422	1.098327568
423	1.098326855
424	1.098325628
425	1.09832494
426	1.09832494
427	1.09832494
428	1.098323912
429	1.098322709
430	1.098322709
431	1.098321303
432	1.098321303
433	1.098320456
434	1.09832009
435	1.098319212
436	1.098319212
437	1.098317929
438	1.098316752
439	1.098315525
440	1.098314196
441	1.098312762
442	1.098312294
443	1.098312294
444	1.098311574
445	1.09831087
446	1.098310272
447	1.098310272
448	1.098309775
449	1.098308522
450	1.098308047
451	1.098308047
452	1.098307054
453	1.098307054
454	1.09830634
455	1.098304993
456	1.098304993
457	1.098303788
458	1.098302409
459	1.098302409
460	1.098301221
461	1.098301221
462	1.098301221
463	1.098300262
464	1.098299548
465	1.098299548
466	1.098298319
467	1.098298319
468	1.098298319
469	1.098297561
470	1.098296345
471	1.098295475
472	1.098294014
473	1.098292893
474	1.098292295
475	1.098290979
476	1.098289979
477	1.098289979
478	1.098289979
479	1.098289979
480	1.098289979
481	1.098289721
482	1.098288491
483	1.098288174
484	1.098288174
485	1.098288174
486	1.098288174
487	1.098288174
488	1.098288174
489	1.098286762
490	1.098286762
491	1.098286048
492	1.098284933
493	1.098284063
494	1.098282971
495	1.09828268
496	1.09828268
497	1.098281833
498	1.098280948
499	1.098280227
500	1.098278843
501	1.098278078
502	1.098277263
503	1.098276545
504	1.098275824
505	1.098275824
506	1.098275319
507	1.098275319
508	1.098274449
509	1.098273507
510	1.098273507
511	1.098273507
512	1.09827266
513	1.098271538
514	1.098271538
515	1.098271538
516	1.09827122
517	1.098270148
518	1.098270148
519	1.098268921
520	1.098267475
521	1.098266499
522	1.098265681
523	1.098264749
524	1.098263657
525	1.098263657
526	1.098262403
527	1.098262403
528	1.09826156
529	1.098260844
530	1.098259829
531	1.098259232
532	1.09825796
533	1.098257363
534	1.09825624
535	1.098255602
536	1.098254732
537	1.098254732
538	1.098254732
539	1.098253862
540	1.098253862
541	1.098253862
542	1.098253862
543	1.0982535
544	1.098252228
545	1.098251232
546	1.098250351
547	1.098249479
548	1.098249479
549	1.0982489
550	1.0982489
551	1.098247707
552	1.098247093
553	1.098247093
554	1.098246409
555	1.098246409
556	1.098245509
557	1.098244349
558	1.09824365
559	1.098242932
560	1.098242932
561	1.098242635
562	1.098241536
563	1.098240045
564	1.09823908
565	1.098238264
566	1.098237461
567	1.098236406
568	1.098235535
569	1.09823506
570	1.098234217
571	1.098234217
572	1.098233157
573	1.098231783
574	1.098230933
575	1.098230933
576	1.098230933
577	1.098230933
578	1.098230118
579	1.098229002
580	1.098227714
581	1.098226846
582	1.098226115
583	1.098225244
584	1.098224437
585	1.098222934
586	1.098222218
587	1.098222218
588	1.098221115
589	1.098221115
590	1.098219747
591	1.098218926
592	1.098218926
593	1.098218926
594	1.098218926
595	1.098218625
596	1.098217297
597	1.09821615
598	1.098214849
599	1.098213832
600	1.098212539
601	1.098211234
602	1.098210172
603	1.098209161
604	1.098208002
605	1.098207295
606	1.098206798
607	1.098206798
608	1.098206084
609	1.098204824
610	1.098203671
611	1.098202511
612	1.098202035
613	1.098201737
614	1.098200462
615	1.098199014
616	1.098199014
617	1.098199014
618	1.098198171
619	1.098197696
620	1.098197696
621	1.098196643
622	1.098195161
623	1.098195161
624	1.098194181
625	1.098193366
626	1.098192112
627	1.098191347
628	1.098191347
629	1.098190171
630	1.098190171
631	1.098188811
632	1.098188811
633	1.098188175
634	1.098187578
635	1.098186564
636	1.098186564
637	1.098186564
638	1.098185601
639	1.098185601
640	1.098184786
641	1.0981841
642	1.098183518
643	1.098182118
644	1.098181272
645	1.098180143
646	1.098179512
647	1.098178387
648	1.098177117
649	1.098175672
650	1.098175672
651	1.098175672
652	1.098175331
653	1.098173994
654	1.098172712
655	1.098172712
656	1.098172414
657	1.098171062
658	1.09817055
659	1.09817055
660	1.09817055
661	1.09817055
662	1.09816975
663	1.098168985
664	1.098168186
665	1.098168186
666	1.098168186
667	1.098167329
668	1.098167329
669	1.098166514
670	1.098166514
671	1.098165643
672	1.09816474
673	1.098163446
674	1.098163446
675	1.098163446
676	1.098162265
677	1.098161225
678	1.09816033
679	1.098160013
680	1.09815868
681	1.098157897
682	1.098157054
683	1.098155786
684	1.098154397
685	1.098153458
686	1.098152266
687	1.098151199
688	1.098151199
689	1.098151199
690	1.098151199
691	1.098151199
692	1.098151199
693	1.098150334
694	1.098150334
695	1.098150334
696	1.098148893
697	1.098147556
698	1.098146751
699	1.098146751
700	1.098146305
701	1.098145409
702	1.098144563
703	1.098143089
704	1.098143089
705	1.098142375
706	1.098141049
707	1.098139811
708	1.098139314
709	1.098139314
710	1.098137892
711	1.09813653
712	1.09813653
713	1.09813653
714	1.09813653
715	1.098135258
716	1.0981344
717	1.0981344
718	1.098133543
719	1.098133543
720	1.098132405
721	1.098130927
722	1.098130147
723	1.098129601
724	1.098128597
725	1.098127259
726	1.098127259
727	1.098126958
728	1.098126059
729	1.098125189
730	1.098124478
731	1.098123462
732	1.098122865
733	1.098122865
734	1.098121941
735	1.098120723
736	1.098119444
737	1.098118713
738	1.098118237
739	1.098117724
740	1.098116295
741	1.098115669
742	1.098114799
743	1.098114799
744	1.098114221
745	1.098113318
746	1.098112239
747	1.098111311
748	1.098111311
749	1.098111311
750	1.098110464
751	1.098110167
752	1.098109039
753	1.098109039
754	1.098107872
755	1.098107872
756	1.098107872
757	1.098107057
758	1.098107057
759	1.098107057
760	1.098106545
761	1.098105557
762	1.098105557
763	1.098104442
764	1.098103166
765	1.098103166
766	1.098103166
767	1.098102179
768	1.098100967
769	1.098100967
770	1.098100124
771	1.098099627
772	1.098098296
773	1.098097592
774	1.09809664
775	1.098095825
776	1.098094522
777	1.098093221
778	1.098092147
779	1.09809107
780	1.098089623
781	1.098088623
782	1.098088623
783	1.098088623
784	1.098087596
785	1.098087596
786	1.098087596
787	1.098086781
788	1.09808548
789	1.098084274
790	1.098084274
791	1.098082978
792	1.098082111
793	1.098082111
794	1.098081008
795	1.098080165
796	1.098079295
797	1.098078425
798	1.098078128
799	1.098076829
800	1.098075987
801	1.098075987
802	1.098074751
803	1.098073247
804	1.098073247
805	1.098073247
806	1.098072018
807	1.098070883
808	1.098069677
809	1.09806879
810	1.09806879
811	1.098068532
812	1.098067091
813	1.09806593
814	1.098065484
815	1.098064173
816	1.098063303
817	1.098062048
818	1.098061137
819	1.098059884
820	1.098058659
821	1.09805748
822	1.098056172
823	1.098056172
824	1.098056172
825	1.098055761
826	1.098055761
827	1.098055761
828	1.098055761
829	1.098054891
830	1.098054891
831	1.098054363
832	1.098053171
833	1.098052139
834	1.098050789
835	1.098049867
836	1.098049867
837	1.098049867
838	1.098049867
839	1.098048468
840	1.098048258
841	1.098046724
842	1.098045882
843	1.098044789
844	1.098044789
845	1.098044789
846	1.098044789
847	1.098043974
848	1.098043974
849	1.098043507
850	1.098042231
851	1.098040758
852	1.098039888
853	1.098038676
854	1.098038009
855	1.098036503
856	1.098036503
857	1.098035449
858	1.098035132
859	1.09803387
860	1.09803387
861	1.098032928
862	1.098032329
863	1.09803103
864	1.09803103
865	1.098030006
866	1.098030006
867	1.098030006
868	1.09802871
869	1.09802784
870	1.09802784
871	1.09802784
872	1.09802784
873	1.098026893
874	1.098026893
875	1.098026893
876	1.098026893
877	1.098026576
878	1.098025706
879	1.098025706
880	1.098025706
881	1.098024382
882	1.098023634
883	1.098022393
884	1.098021443
885	1.098020197
886	1.098018842
887	1.098018842
888	1.098018
889	1.098017269
890	1.098017269
891	1.098016454
892	1.098015584
893	1.098014231
894	1.098013017
895	1.09801242
896	1.098011791
897	1.098011791
898	1.098011088
899	1.098010726
900	1.098009415
901	1.098009415
902	1.098008251
903	1.098007475
904	1.098007475
905	1.098006275
906	1.098006275
907	1.098005107
908	1.098004108
909	1.098003596
910	1.098002875
911	1.098002875
912	1.098001849
913	1.098000376
914	1.097999028
915	1.097999028
916	1.097998099
917	1.097997411
918	1.097996849
919	1.097995688
920	1.097994625
921	1.097994625
922	1.097993275
923	1.097993275
924	1.09799261
925	1.09799261
926	1.097991281
927	1.097990298
928	1.097988915
929	1.097988176
930	1.097987072
931	1.097986475
932	1.097986475
933	1.097986475
934	1.097986475
935	1.097986175
936	1.097986175
937	1.097984933
938	1.097983696
939	1.097982719
940	1.097982719
941	1.097982719
942	1.09798142
943	1.097980363
944	1.097979675
945	1.097979675
946	1.097979008
947	1.097978411
948	1.097977597
949	1.097977597
950	1.097977
951	1.097975626
952	1.09797515
953	1.09797515
954	1.097973966
955	1.097973966
956	1.097973966
957	1.097973966
958	1.097972812
959	1.097972514
960	1.09797138
961	1.097969877
962	1.097968549
963	1.097968549
964	1.097968549
965	1.097968549
966	1.097968549
967	1.097968549
968	1.097968549
969	1.097968549
970	1.097967525
971	1.09796671
972	1.097965875
973	1.09796451
974	1.09796451
975	1.097963491
976	1.097962469
977	1.097962172
978	1.097961874
979	1.097960603
980	1.097960344
981	1.097960344
982	1.097959475
983	1.097958787
984	1.097957558
985	1.09795695
986	1.097956065
987	1.097956065
988	1.097956065
989	1.097955764
990	1.097955764
991	1.097955764
992	1.097955764
993	1.097955039
994	1.097954225
995	1.097953038
996	1.097953038
997	1.097953038
998	1.097951915
999	1.097951915
